,Date,tic,Company Market Cap,ensemble_pred,Mispricing,Quintile,Next 1M Return,Next 6M Return,Next 12M Return
0,2019-01,EXC,46315065760.08,40778988433.38083,-0.11953081002577012,2,0.0173785594639865,-0.054743922494986,0.0011400682996656
1,2019-01,GNRC,3289036218.94,17632682177.352886,4.361048344744466,5,-0.0260358823921975,0.3710902568149115,0.970509957399843
2,2019-01,NUE,18714392840.0,24853846488.528107,0.3280605307913429,3,-0.0116183495531452,-0.1190895888824358,-0.2305551586449438
3,2019-01,FCX,16867045421.4,30704888685.32777,0.820407067047502,4,0.1082474226804124,-0.0486271099928016,-0.0451324742289579
4,2019-01,VTRS,15443163155.4499,58839845446.570045,2.8100902551045985,5,-0.1183205838154383,-0.3018476046408187,-0.2841130753385528
5,2019-01,TSN,22617357036.48,48571143282.00491,1.147516316944704,4,-0.0041989664082731,0.281872085108676,0.3336262154812923
6,2019-01,TXT,12932840219.16,29766868098.4733,1.3016497222608296,4,-0.0181649201551303,-0.1227686802167208,-0.1893421726576505
7,2019-01,KMI,39947030994.7,54078478227.22895,0.3537546315871098,3,0.0857291745610422,0.1685389614240231,0.1833126891573384
8,2019-01,VFC,33298110221.48,35676692617.23177,0.07143295460105102,2,0.0378994891291433,0.0450036177549595,-0.0164624434946577
9,2019-01,ATO,11412690525.99,17205095846.33811,0.5075407334630803,3,0.0124961589675305,0.129322055934919,0.253764564008343
10,2019-01,FIS,34232348654.04,36980627217.82971,0.08028308520588076,2,0.0202005568635847,1.3858039999721536,1.5792410771640075
11,2019-01,MPWR,5367662720.0,22915338896.371754,3.269146571186156,5,0.072247840490246,0.1936351768391289,0.3852311551348721
12,2019-01,GPN,17735971338.96,21754938460.62981,0.22659977538650417,3,0.1585674324124675,0.4833913642004523,2.308479160461973
13,2019-01,MCHP,19045194752.61,33363885731.000507,0.7518269655094095,4,0.0808759487370909,0.1801003355053607,0.226040056391654
14,2019-01,HOLX,12934375654.8,31324536693.861034,1.421805082044016,4,0.0619369369369369,0.059149513039393,0.0894939236599665
15,2019-01,LHX,18049165853.58,22685398537.379498,0.2568668669460928,3,0.0779051373313794,1.5466636651955272,1.7108310245520415
16,2019-01,OKE,26413520438.17,31628521329.23517,0.19743679769126907,3,0.0013866750263653,0.095681925095366,0.1709021452818786
17,2019-01,CDW,12489231714.63,37899230774.10102,2.0345526162114136,5,0.1055434100382572,0.3691373103863165,0.5007441299927291
18,2019-01,DHR,77744127816.76,56730268845.375725,-0.2702951278958734,2,0.164081738025877,0.296434219405723,0.438853789175635
19,2019-01,HII,8867913583.4,21462630417.83478,1.42025705550526,4,-0.0192982170248422,0.064136981980144,0.2037773120593669
20,2019-01,CTSH,40346671667.12,72379028862.22408,0.7939281202520709,4,0.0117450796509237,-0.1083219898339626,-0.1669798581737858
21,2019-01,AMAT,37102263159.72,54399547443.5588,0.4662056384371065,3,-0.018935516888434,0.2291897865473544,0.4352901690016981
22,2019-01,AMP,17642515809.0,32963626754.306305,0.8684198507273281,4,0.0102334813347821,0.079378166967865,0.1878530690475177
23,2019-01,APTV,20576534970.19,29532875860.51997,0.4352696361805017,3,0.0416725985435477,0.0913059552340485,0.0519696295299094
24,2019-01,TDG,20662416505.0,21635697443.94315,0.04710392604406314,2,0.1112991555655364,0.2529138972750564,0.6714507125554625
25,2019-01,TJX,61324313183.0399,42252309684.411995,-0.3110023171674516,1,0.031369394731552,0.0789055413026353,0.1583654530804592
26,2019-01,BLK,65595895164.72,50978732507.03122,-0.2228365451981888,2,0.0677941601618963,0.1020669304368442,0.2447166068832549
27,2019-01,AON,37627075930.22,24658236941.495335,-0.3446677337557556,1,0.0940819414882261,0.1861957333137642,0.3583129300502403
28,2019-01,XYL,12806565723.0,29538539399.25649,1.3065152702263212,4,0.0592384115545916,0.1286817428953899,0.148257926748462
29,2019-01,ETSY,6583141349.95,27307628766.673447,3.1481152105112935,5,0.2944423302067973,0.2263480409791456,-0.1214781903773148
30,2019-01,CTAS,19603025751.45,29346540987.554806,0.49704139348917065,3,0.1058985212931398,0.3616124763385397,0.4764741160389034
31,2019-01,GM,54997867692.52,47131195241.17612,-0.14303595359959362,2,0.0117888262429504,0.0472151063440804,-0.1324322035477857
32,2019-01,BIO,7426444914.87999,24963631908.97044,2.361451164735913,5,0.0940071523241456,0.2706806857467259,0.4647809966359641
33,2019-01,PARA,18511517493.0,27621794702.881733,0.4921410258951877,3,0.0117675253102493,0.0429132657892739,0.1452363255674018
34,2019-01,ZTS,41395647993.1199,42519337670.341576,0.027145116254936583,2,0.0898410759978489,0.3261511661400744,0.5442232563462808
35,2019-01,MAS,9544501924.99999,25121578572.671314,1.6320470958123192,4,0.1589015735883998,0.2364313462716403,0.3827826800925511
36,2019-01,REGN,46088931990.45,47597817273.81616,0.032738560391870626,2,0.0034244181983367,-0.2859669367999454,-0.1932966843066786
37,2019-01,LH,14060415000.0,38246410400.235695,1.7201480468560633,5,0.0395471257427324,0.1735585329451514,0.2112971060953747
38,2019-01,QRVO,8025460608.4,28277598828.91905,2.52348609116862,5,0.0731334149326805,0.0756314101765944,0.5259403921990597
39,2019-01,TGT,38093853019.0,57088278806.648865,0.4986218059426819,3,-0.0126962844834511,0.1620168404682425,0.4731003648161054
40,2019-01,LRCX,25876797929.32,34095129268.308956,0.31759460198423867,3,0.0383889609623777,0.2086570100411138,0.6773330826037247
41,2019-01,LUV,31916522161.92,49479369490.55457,0.5502744703678595,3,-0.0295721150058794,-0.1321656873928722,-0.1088969955776352
