,Date,tic,Company Market Cap,pred,Mispricing,Quintile,Next 1M Return,Next 6M Return,Next 12M Return
0,2019-01,EXC,46315065760.08,41694606587.15228,-0.0997614727972641,3,0.0173785594639865,-0.054743922494986,0.0011400682996656
1,2019-01,GNRC,3289036218.94,4051230991.630299,0.23173802960915443,4,-0.0260358823921975,0.3710902568149115,0.970509957399843
2,2019-01,NUE,18714392840.0,22038282486.744904,0.17761140717536117,4,-0.0116183495531452,-0.1190895888824358,-0.2305551586449438
3,2019-01,FCX,16867045421.4,22534797835.578907,0.33602520610918424,4,0.1082474226804124,-0.0486271099928016,-0.0451324742289579
4,2019-01,VTRS,15443163155.4499,38111966438.11517,1.4678860188474694,5,-0.1183205838154383,-0.3018476046408187,-0.2841130753385528
5,2019-01,TSN,22617357036.48,24506204697.275894,0.08351319111907432,4,-0.0041989664082731,0.281872085108676,0.3336262154812923
6,2019-01,TXT,12932840219.16,22367536489.13459,0.7295146394832196,5,-0.0181649201551303,-0.1227686802167208,-0.1893421726576505
7,2019-01,KMI,39947030994.7,46058751826.449265,0.15299562144080608,4,0.0857291745610422,0.1685389614240231,0.1833126891573384
8,2019-01,VFC,33298110221.48,25891636180.8479,-0.22242926074087888,3,0.0378994891291433,0.0450036177549595,-0.0164624434946577
9,2019-01,ATO,11412690525.99,10834532332.10479,-0.05065923697559103,4,0.0124961589675305,0.129322055934919,0.253764564008343
10,2019-01,FIS,34232348654.04,29884996066.399677,-0.12699545192109574,3,0.0202005568635847,1.3858039999721536,1.5792410771640075
11,2019-01,MPWR,5367662720.0,6044784896.423598,0.12614842096926654,4,0.072247840490246,0.1936351768391289,0.3852311551348721
12,2019-01,GPN,17735971338.96,15929264488.904802,-0.10186681155074184,3,0.1585674324124675,0.4833913642004523,2.308479160461973
13,2019-01,MCHP,19045194752.61,15640053136.88399,-0.17879269075257748,3,0.0808759487370909,0.1801003355053607,0.226040056391654
14,2019-01,HOLX,12934375654.8,10190881753.573004,-0.2121087228674137,3,0.0619369369369369,0.059149513039393,0.0894939236599665
15,2019-01,LHX,18049165853.58,15709352216.581192,-0.12963555523729173,3,0.0779051373313794,1.5466636651955272,1.7108310245520415
16,2019-01,OKE,26413520438.17,20856995650.971188,-0.21036668702325323,3,0.0013866750263653,0.095681925095366,0.1709021452818786
17,2019-01,CDW,12489231714.63,15465103269.818369,0.2382749894617142,4,0.1055434100382572,0.3691373103863165,0.5007441299927291
18,2019-01,DHR,77744127816.76,67593432906.94638,-0.13056542268682236,3,0.164081738025877,0.296434219405723,0.438853789175635
19,2019-01,HII,8867913583.4,11325911107.343687,0.2771787862868731,4,-0.0192982170248422,0.064136981980144,0.2037773120593669
20,2019-01,CTSH,40346671667.12,50430098375.75028,0.24991966603400492,4,0.0117450796509237,-0.1083219898339626,-0.1669798581737858
21,2019-01,AMAT,37102263159.72,50360680938.146194,0.35734795263972385,5,-0.018935516888434,0.2291897865473544,0.4352901690016981
22,2019-01,AMP,17642515809.0,20804660583.329185,0.17923434551868597,4,0.0102334813347821,0.079378166967865,0.1878530690475177
23,2019-01,APTV,20576534970.19,15957832886.61439,-0.22446452185787824,3,0.0416725985435477,0.0913059552340485,0.0519696295299094
24,2019-01,TDG,20662416505.0,11496343633.703491,-0.443610884964905,2,0.1112991555655364,0.2529138972750564,0.6714507125554625
25,2019-01,TJX,61324313183.0399,59659895192.97395,-0.027141241437111874,4,0.031369394731552,0.0789055413026353,0.1583654530804592
26,2019-01,BLK,65595895164.72,70831261955.93759,0.0798124147566077,4,0.0677941601618963,0.1020669304368442,0.2447166068832549
27,2019-01,AON,37627075930.22,34169470175.312,-0.09189142843095713,3,0.0940819414882261,0.1861957333137642,0.3583129300502403
28,2019-01,XYL,12806565723.0,12158577542.638382,-0.05059812243011108,4,0.0592384115545916,0.1286817428953899,0.148257926748462
29,2019-01,ETSY,6583141349.95,5837477927.541346,-0.11326863312973186,3,0.2944423302067973,0.2263480409791456,-0.1214781903773148
30,2019-01,CTAS,19603025751.45,21732400751.12879,0.10862481265277556,4,0.1058985212931398,0.3616124763385397,0.4764741160389034
31,2019-01,GM,54997867692.52,49992622376.37036,-0.09100798860299043,3,0.0117888262429504,0.0472151063440804,-0.1324322035477857
32,2019-01,BIO,7426444914.87999,19199869756.560738,1.5853379344524505,5,0.0940071523241456,0.2706806857467259,0.4647809966359641
33,2019-01,PARA,18511517493.0,18894460161.70967,0.02068672483790041,4,0.0117675253102493,0.0429132657892739,0.1452363255674018
34,2019-01,ZTS,41395647993.1199,35769185815.03167,-0.13591917147965338,3,0.0898410759978489,0.3261511661400744,0.5442232563462808
35,2019-01,MAS,9544501924.99999,11067604123.749395,0.15957901320758616,4,0.1589015735883998,0.2364313462716403,0.3827826800925511
36,2019-01,REGN,46088931990.45,36929501681.903885,-0.19873383723545646,3,0.0034244181983367,-0.2859669367999454,-0.1932966843066786
37,2019-01,LH,14060415000.0,27463838711.82248,0.9532736915533773,5,0.0395471257427324,0.1735585329451514,0.2112971060953747
38,2019-01,QRVO,8025460608.4,10180867508.765997,0.2685711145488647,4,0.0731334149326805,0.0756314101765944,0.5259403921990597
39,2019-01,TGT,38093853019.0,47224153598.910225,0.23967910453574548,4,-0.0126962844834511,0.1620168404682425,0.4731003648161054
40,2019-01,LRCX,25876797929.32,23648508525.471798,-0.08611148141027963,3,0.0383889609623777,0.2086570100411138,0.6773330826037247
41,2019-01,LUV,31916522161.92,33019949282.036076,0.034572285618029844,4,-0.0295721150058794,-0.1321656873928722,-0.1088969955776352
