,Date,tic,Company Market Cap,pred,Mispricing,Quintile,Next 1M Return,Next 6M Return,Next 12M Return
0,2019-01,EXC,46315065760.08,64733577226.27752,0.3976786206373661,4,0.0173785594639865,-0.054743922494986,0.0011400682996656
1,2019-01,GNRC,3289036218.94,11282032481.635975,2.4301940540113542,5,-0.0260358823921975,0.3710902568149115,0.970509957399843
2,2019-01,NUE,18714392840.0,33223134794.562317,0.7752718497792481,5,-0.0116183495531452,-0.1190895888824358,-0.2305551586449438
3,2019-01,FCX,16867045421.4,45944983463.60093,1.7239497087799625,5,0.1082474226804124,-0.0486271099928016,-0.0451324742289579
4,2019-01,VTRS,15443163155.4499,24084287347.870327,0.5595436702597402,5,-0.1183205838154383,-0.3018476046408187,-0.2841130753385528
5,2019-01,TSN,22617357036.48,29251344366.36875,0.29331399416778264,4,-0.0041989664082731,0.281872085108676,0.3336262154812923
6,2019-01,TXT,12932840219.16,21900020028.86516,0.6933650812773738,5,-0.0181649201551303,-0.1227686802167208,-0.1893421726576505
7,2019-01,KMI,39947030994.7,69479130987.99588,0.7392814749415063,5,0.0857291745610422,0.1685389614240231,0.1833126891573384
8,2019-01,VFC,33298110221.48,27073935618.463505,-0.18692275812701808,3,0.0378994891291433,0.0450036177549595,-0.0164624434946577
9,2019-01,ATO,11412690525.99,2762823957.4977226,-0.7579165095902695,2,0.0124961589675305,0.129322055934919,0.253764564008343
10,2019-01,FIS,34232348654.04,35600401306.30102,0.039963739154647904,4,0.0202005568635847,1.3858039999721536,1.5792410771640075
11,2019-01,MPWR,5367662720.0,31019378462.302525,4.778935838633044,5,0.072247840490246,0.1936351768391289,0.3852311551348721
12,2019-01,GPN,17735971338.96,15193717403.891945,-0.1433388612600863,4,0.1585674324124675,0.4833913642004523,2.308479160461973
13,2019-01,MCHP,19045194752.61,29109807181.55799,0.528459412449364,5,0.0808759487370909,0.1801003355053607,0.226040056391654
14,2019-01,HOLX,12934375654.8,15390321972.363937,0.18987745393435565,4,0.0619369369369369,0.059149513039393,0.0894939236599665
15,2019-01,LHX,18049165853.58,13973635435.891499,-0.22580159386590895,3,0.0779051373313794,1.5466636651955272,1.7108310245520415
16,2019-01,OKE,26413520438.17,11254672369.6016,-0.5739048720920386,2,0.0013866750263653,0.095681925095366,0.1709021452818786
17,2019-01,CDW,12489231714.63,35941934712.2066,1.8778339239317572,5,0.1055434100382572,0.3691373103863165,0.5007441299927291
18,2019-01,DHR,77744127816.76,42816419215.132805,-0.44926491019296655,3,0.164081738025877,0.296434219405723,0.438853789175635
19,2019-01,HII,8867913583.4,17973578045.864403,1.0268102386010451,5,-0.0192982170248422,0.064136981980144,0.2037773120593669
20,2019-01,CTSH,40346671667.12,57899404481.86467,0.43504785127168344,4,0.0117450796509237,-0.1083219898339626,-0.1669798581737858
21,2019-01,AMAT,37102263159.72,49660073523.35976,0.33846480764745146,4,-0.018935516888434,0.2291897865473544,0.4352901690016981
22,2019-01,AMP,17642515809.0,9568360936.842934,-0.4576532598620763,3,0.0102334813347821,0.079378166967865,0.1878530690475177
23,2019-01,APTV,20576534970.19,30982321090.692524,0.5057112937420114,4,0.0416725985435477,0.0913059552340485,0.0519696295299094
24,2019-01,TDG,20662416505.0,14032589449.91264,-0.32086406996408384,3,0.1112991555655364,0.2529138972750564,0.6714507125554625
25,2019-01,TJX,61324313183.0399,52534386225.976295,-0.1433351064336842,4,0.031369394731552,0.0789055413026353,0.1583654530804592
26,2019-01,BLK,65595895164.72,47485851354.0192,-0.2760850166801455,3,0.0677941601618963,0.1020669304368442,0.2447166068832549
27,2019-01,AON,37627075930.22,17149554296.326563,-0.544223039597053,2,0.0940819414882261,0.1861957333137642,0.3583129300502403
28,2019-01,XYL,12806565723.0,8154041548.838249,-0.3632921014730774,3,0.0592384115545916,0.1286817428953899,0.148257926748462
29,2019-01,ETSY,6583141349.95,24082687733.39863,2.658236463900557,5,0.2944423302067973,0.2263480409791456,-0.1214781903773148
30,2019-01,CTAS,19603025751.45,22170481516.83881,0.1309724222138972,4,0.1058985212931398,0.3616124763385397,0.4764741160389034
31,2019-01,GM,54997867692.52,206315016393.15515,2.7513275523082705,5,0.0117888262429504,0.0472151063440804,-0.1324322035477857
32,2019-01,BIO,7426444914.87999,31356387104.81459,3.222260780792623,5,0.0940071523241456,0.2706806857467259,0.4647809966359641
33,2019-01,PARA,18511517493.0,34408403767.24732,0.8587565163287461,5,0.0117675253102493,0.0429132657892739,0.1452363255674018
34,2019-01,ZTS,41395647993.1199,20026452718.389076,-0.5162184024340544,3,0.0898410759978489,0.3261511661400744,0.5442232563462808
35,2019-01,MAS,9544501924.99999,17808450430.890903,0.8658333950612013,5,0.1589015735883998,0.2364313462716403,0.3827826800925511
36,2019-01,REGN,46088931990.45,5823900038.5540085,-0.8736377740373596,1,0.0034244181983367,-0.2859669367999454,-0.1932966843066786
37,2019-01,LH,14060415000.0,24011772179.40875,0.7077570028629133,5,0.0395471257427324,0.1735585329451514,0.2112971060953747
38,2019-01,QRVO,8025460608.4,30047266032.063248,2.743992712469825,5,0.0731334149326805,0.0756314101765944,0.5259403921990597
39,2019-01,TGT,38093853019.0,55498135254.66193,0.45687902000832586,4,-0.0126962844834511,0.1620168404682425,0.4731003648161054
40,2019-01,LRCX,25876797929.32,38396205590.49054,0.48380822447066696,4,0.0383889609623777,0.2086570100411138,0.6773330826037247
41,2019-01,LUV,31916522161.92,42451079839.95166,0.33006596472470845,4,-0.0295721150058794,-0.1321656873928722,-0.1088969955776352
