,Date,tic,Company Market Cap,pred,Mispricing,Quintile,Next 1M Return,Next 6M Return,Next 12M Return
0,2019-01,EXC,46315065760.08,45930987289.4725,-0.008292732921876666,3,0.0173785594639865,-0.054743922494986,0.0011400682996656
1,2019-01,GNRC,3289036218.94,3275626607.4919977,-0.004077064086671574,3,-0.0260358823921975,0.3710902568149115,0.970509957399843
2,2019-01,NUE,18714392840.0,18834485409.407345,0.006417123463960844,3,-0.0116183495531452,-0.1190895888824358,-0.2305551586449438
3,2019-01,FCX,16867045421.4,18640407198.672375,0.10513766536861453,4,0.1082474226804124,-0.0486271099928016,-0.0451324742289579
4,2019-01,VTRS,15443163155.4499,16414207070.041916,0.0628785634664058,4,-0.1183205838154383,-0.3018476046408187,-0.2841130753385528
5,2019-01,TSN,22617357036.48,21018682267.15126,-0.07068353595648703,3,-0.0041989664082731,0.281872085108676,0.3336262154812923
6,2019-01,TXT,12932840219.16,15614011773.850971,0.20731498334904164,4,-0.0181649201551303,-0.1227686802167208,-0.1893421726576505
7,2019-01,KMI,39947030994.7,36790202194.89061,-0.07902536737281482,3,0.0857291745610422,0.1685389614240231,0.1833126891573384
8,2019-01,VFC,33298110221.48,28005293857.494316,-0.15895245492254348,3,0.0378994891291433,0.0450036177549595,-0.0164624434946577
9,2019-01,ATO,11412690525.99,10805413765.02142,-0.053210656995003526,3,0.0124961589675305,0.129322055934919,0.253764564008343
10,2019-01,FIS,34232348654.04,34179894545.522305,-0.0015322965142651964,3,0.0202005568635847,1.3858039999721536,1.5792410771640075
11,2019-01,MPWR,5367662720.0,5226905961.066275,-0.026223100495726633,3,0.072247840490246,0.1936351768391289,0.3852311551348721
12,2019-01,GPN,17735971338.96,17127301020.06095,-0.03431840902685745,3,0.1585674324124675,0.4833913642004523,2.308479160461973
13,2019-01,MCHP,19045194752.61,17443220119.73837,-0.08411437392374752,3,0.0808759487370909,0.1801003355053607,0.226040056391654
14,2019-01,HOLX,12934375654.8,12155338590.350481,-0.06022997052512654,3,0.0619369369369369,0.059149513039393,0.0894939236599665
15,2019-01,LHX,18049165853.58,16062923916.103216,-0.11004619014472738,3,0.0779051373313794,1.5466636651955272,1.7108310245520415
16,2019-01,OKE,26413520438.17,23681380881.457375,-0.10343716064309351,3,0.0013866750263653,0.095681925095366,0.1709021452818786
17,2019-01,CDW,12489231714.63,13122842897.27343,0.05073259885964105,4,0.1055434100382572,0.3691373103863165,0.5007441299927291
18,2019-01,DHR,77744127816.76,73944589304.23155,-0.04887235369703822,3,0.164081738025877,0.296434219405723,0.438853789175635
19,2019-01,HII,8867913583.4,8830330387.36977,-0.004238110314987981,3,-0.0192982170248422,0.064136981980144,0.2037773120593669
20,2019-01,CTSH,40346671667.12,40293606996.03883,-0.0013152180561256431,3,0.0117450796509237,-0.1083219898339626,-0.1669798581737858
21,2019-01,AMAT,37102263159.72,32652527655.365864,-0.1199316463580309,3,-0.018935516888434,0.2291897865473544,0.4352901690016981
22,2019-01,AMP,17642515809.0,16638423975.332985,-0.05691318882961104,3,0.0102334813347821,0.079378166967865,0.1878530690475177
23,2019-01,APTV,20576534970.19,18025405624.28393,-0.12398245621053225,3,0.0416725985435477,0.0913059552340485,0.0519696295299094
24,2019-01,TDG,20662416505.0,18431137312.944687,-0.1079873301128828,3,0.1112991555655364,0.2529138972750564,0.6714507125554625
25,2019-01,TJX,61324313183.0399,50161787544.7205,-0.18202447053914267,3,0.031369394731552,0.0789055413026353,0.1583654530804592
26,2019-01,BLK,65595895164.72,63247190283.62378,-0.03580566855895955,3,0.0677941601618963,0.1020669304368442,0.2447166068832549
27,2019-01,AON,37627075930.22,37096843798.744736,-0.014091770842320814,3,0.0940819414882261,0.1861957333137642,0.3583129300502403
28,2019-01,XYL,12806565723.0,12395905330.711939,-0.032066394782992766,3,0.0592384115545916,0.1286817428953899,0.148257926748462
