Quintile,Mispricing,Next 1M Return,Next 6M Return,Next 12M Return
1,-0.6359016266554562,0.015185290199645018,0.11549240105207069,0.25795365569410356
2,-0.21947962958895342,0.009162009235936566,0.06054510499349376,0.11573484631547075
3,0.14891389358196364,0.010632096397778162,0.05519624056495064,0.1047221155038419
4,0.6681948761639744,0.01121440607685764,0.057658551797800946,0.12193709113588871
5,2.0688511663095643,0.01969360101302192,0.09140906308707349,0.22712988658304328
