Quintile,Mispricing,Next 1M Return,Next 6M Return,Next 12M Return
1,-0.6877587330972654,0.006252636958968691,0.029719507357113133,0.024068490840013952
2,-0.3936165307319933,0.006399869797416131,0.05289992356900024,0.126581681526064
3,-0.13788963769099585,0.011581342219998507,0.07082044072411452,0.14947836037452983
4,0.21497936321480013,0.015036572758080447,0.08232393959700965,0.18045329855257614
5,1.6294411205140498,0.026384748257621285,0.13834212609820434,0.31323814213024576
