DATE,INDPRO
2000-01-01,91.4251
2000-02-01,91.7357
2000-03-01,92.0933
2000-04-01,92.6838
2000-05-01,92.9376
2000-06-01,93.0076
2000-07-01,92.8458
2000-08-01,92.5972
2000-09-01,92.9653
2000-10-01,92.6418
2000-11-01,92.6618
2000-12-01,92.3459
2001-01-01,91.8903
2001-02-01,91.2915
2001-03-01,91.0526
2001-04-01,90.7293
2001-05-01,90.2577
2001-06-01,89.7677
2001-07-01,89.2260
2001-08-01,89.1326
2001-09-01,88.6679
2001-10-01,88.3926
2001-11-01,87.8774
2001-12-01,87.8344
2002-01-01,88.4665
2002-02-01,88.4661
2002-03-01,89.1228
2002-04-01,89.5532
2002-05-01,89.9340
2002-06-01,90.6769
2002-07-01,90.6455
2002-08-01,90.5475
2002-09-01,90.6381
2002-10-01,90.4041
2002-11-01,90.8985
2002-12-01,90.3890
2003-01-01,91.1355
2003-02-01,91.2502
2003-03-01,91.0059
2003-04-01,90.4281
2003-05-01,90.4073
2003-06-01,90.5218
2003-07-01,90.9896
2003-08-01,90.7858
2003-09-01,91.3829
2003-10-01,91.5005
2003-11-01,92.1265
2003-12-01,92.1722
2004-01-01,92.3270
2004-02-01,92.8873
2004-03-01,92.5325
2004-04-01,92.9096
2004-05-01,93.5838
2004-06-01,92.8621
2004-07-01,93.5511
2004-08-01,93.6328
2004-09-01,93.7418
2004-10-01,94.5671
2004-11-01,94.8000
2004-12-01,95.5426
2005-01-01,95.8831
2005-02-01,96.5616
2005-03-01,96.4371
2005-04-01,96.6280
2005-05-01,96.7306
2005-06-01,97.1488
2005-07-01,96.8383
2005-08-01,97.1603
2005-09-01,95.2729
2005-10-01,96.4383
2005-11-01,97.4951
2005-12-01,97.9788
2006-01-01,98.1305
2006-02-01,98.1779
2006-03-01,98.3898
2006-04-01,98.6769
2006-05-01,98.7052
2006-06-01,99.0427
2006-07-01,98.9804
2006-08-01,99.4106
2006-09-01,99.2207
2006-10-01,99.1253
2006-11-01,99.0969
2006-12-01,100.1122
2007-01-01,99.7571
2007-02-01,100.7275
2007-03-01,100.9023
2007-04-01,101.5874
2007-05-01,101.6299
2007-06-01,101.6482
2007-07-01,101.4925
2007-08-01,101.6874
2007-09-01,101.9398
2007-10-01,101.6345
2007-11-01,102.2068
2007-12-01,102.2604
2008-01-01,102.1400
2008-02-01,101.7671
2008-03-01,101.4355
2008-04-01,100.7424
2008-05-01,100.1320
2008-06-01,99.8651
2008-07-01,99.4214
2008-08-01,97.8448
2008-09-01,93.5590
2008-10-01,94.4956
2008-11-01,93.2689
2008-12-01,90.6280
2009-01-01,88.3811
2009-02-01,87.8412
2009-03-01,86.4794
2009-04-01,85.7883
2009-05-01,84.9516
2009-06-01,84.6928
2009-07-01,85.7044
2009-08-01,86.6617
2009-09-01,87.4033
2009-10-01,87.6035
2009-11-01,87.9559
2009-12-01,88.2468
2010-01-01,89.1911
2010-02-01,89.4972
2010-03-01,90.1419
2010-04-01,90.4591
2010-05-01,91.7020
2010-06-01,91.8997
2010-07-01,92.2522
2010-08-01,92.5899
2010-09-01,92.8564
2010-10-01,92.6037
2010-11-01,92.6773
2010-12-01,93.5851
2011-01-01,93.3944
2011-02-01,92.9930
2011-03-01,93.9820
2011-04-01,93.6525
2011-05-01,93.7775
2011-06-01,94.0467
2011-07-01,94.4931
2011-08-01,95.0969
2011-09-01,95.0281
2011-10-01,95.6924
2011-11-01,95.6913
2011-12-01,96.1938
2012-01-01,96.7790
2012-02-01,97.0959
2012-03-01,96.5919
2012-04-01,97.2942
2012-05-01,97.4853
2012-06-01,97.4959
2012-07-01,97.6922
2012-08-01,97.3061
2012-09-01,97.2383
2012-10-01,97.5425
2012-11-01,97.9340
2012-12-01,98.1984
2013-01-01,98.2029
2013-02-01,98.6733
2013-03-01,99.0788
2013-04-01,98.9658
2013-05-01,99.0567
2013-06-01,99.2424
2013-07-01,98.9258
2013-08-01,99.5059
2013-09-01,100.0391
2013-10-01,99.9203
2013-11-01,100.1661
2013-12-01,100.3777
2014-01-01,99.9990
2014-02-01,100.7583
2014-03-01,101.7767
2014-04-01,101.8425
2014-05-01,102.2594
2014-06-01,102.5986
2014-07-01,102.8163
2014-08-01,102.6562
2014-09-01,102.9776
2014-10-01,102.9892
2014-11-01,103.6402
2014-12-01,103.6345
2015-01-01,102.8239
2015-02-01,102.1513
2015-03-01,101.8240
2015-04-01,101.2440
2015-05-01,100.7830
2015-06-01,100.4781
2015-07-01,101.1052
2015-08-01,100.9442
2015-09-01,100.6507
2015-10-01,100.1871
2015-11-01,99.4382
2015-12-01,98.9390
2016-01-01,99.4558
2016-02-01,98.9136
